ticker,company_name,current_yield,avg_yield_5y,yield_gap_ratio,market_cap,equity_ratio,consecutive_no_cut_years,per,pbr,payout_ratio,last_updated,data_quality_flag,y1_fiscal_year,y1_dividend_per_share,y1_yield,y1_is_missing,y2_fiscal_year,y2_dividend_per_share,y2_yield,y2_is_missing,y3_fiscal_year,y3_dividend_per_share,y3_yield,y3_is_missing,y4_fiscal_year,y4_dividend_per_share,y4_yield,y4_is_missing,y5_fiscal_year,y5_dividend_per_share,y5_yield,y5_is_missing
4114.T,日本触媒,0.04262739779112575,0.041792156788613685,0.019985592194649016,381334978560.0,68.36312432244243,2,23.015518,0.94932187,100.77000000000001,2026-09-24,,2021,31.25,0.028733713119689946,False,2022,47.5,0.04248607290545473,False,2023,45.0,0.037822280425779724,False,2024,76.5,0.0435717202370842,False,2025,110.0,0.05634699725505983,False
4116.T,大日精化工業,0.033345892991710625,0.04294655078919643,-0.2235489840525431,90583457792.0,67.47726874476743,5,11.215348,0.64441967,40.150002,2026-09-24,,2021,13.75,0.029177184110324154,False,2022,20.0,0.055716103599850644,False,2023,20.0,0.03625877754983258,False,2024,34.0,0.049233044831947036,False,2025,44.25,0.04434764385402772,False
4118.T,カネカ,0.024671052631578948,0.03401122991076029,-0.27462039166735186,364971491328.0,52.06921933287042,2,12.173879,0.72416896,32.029998,2026-09-24,,2021,100.0,0.030595766654394,False,2022,115.0,0.03910766380360886,False,2023,110.0,0.03334618896415514,False,2024,115.0,0.03229934825313078,False,2025,150.0,0.03470718187851266,False
4119.T,日本ピグメントホールディングス,0.01658374792703151,0.03695109441962566,-0.5511973816336151,9464121344.0,49.21199545878811,4,8.162989,0.41216993,13.54,2026-09-24,,2021,50.0,0.02125543438043678,False,2022,100.0,0.05486167751767518,False,2023,100.0,0.045254462994919586,False,2024,100.0,0.035243573447099406,False,2025,100.0,0.028140323757997337,False
4120.T,スガイ化学工業,0.024288688410825817,0.024679322188509666,-0.015828383563375237,3764972800.0,68.62998154649298,6,8.164768,0.431565,25.5,2026-09-24,,2021,30.0,0.021982663428302626,False,2022,35.0,0.020886270788111436,False,2023,45.0,0.020042710372069995,False,2024,60.0,0.028163749005714,False,2025,70.0,0.032321217348350285,False
4124.T,大阪油化工業,0.011842105263157895,0.017441218266880307,-0.3210276322471549,2573776384.0,88.75723225437277,6,24.687347,1.9692243,47.910000000000004,2026-09-24,,2021,25.0,0.018295842341296074,False,2022,25.0,0.018500053928379858,False,2023,35.0,0.024339955286198214,False,2024,35.0,0.011179314774131989,False,2025,36.0,0.014890925004395397,False
4125.T,三和油化工業,0.011796982167352537,0.01294045832866116,-0.08836442514373666,15747544064.0,51.2316371085647,3,14.679232,1.1389806,20.150000000000002,2026-09-24,,2021,0.0,0.0,True,2022,30.0,0.007355214417848367,False,2023,36.0,0.013321289101406524,False,2024,40.0,0.0249051104499238,False,2025,43.0,0.019120677674127104,False
414A.T,オーバーラップホールディングス,0.0,0.0,0.0,17667063808.0,43.757738896366085,0,8.427985,2.0697868,0.0,2026-09-24,no_dividend_history,2021,0.0,0.0,True,2022,0.0,0.0,True,2023,0.0,0.0,True,2024,0.0,0.0,True,2025,0.0,0.0,True
4151.T,協和キリン,0.027415432235242097,0.02199025257063911,0.24670838350654334,1184090816512.0,80.63582041052119,9,14.549022,1.2924408,43.120000000000005,2026-09-24,,2021,46.0,0.016218879117547536,False,2022,51.0,0.01835802149291801,False,2023,56.0,0.025122017173911066,False,2024,58.0,0.0253756768292709,False,2025,62.0,0.024876668239548035,False
415A.T,ＧＭＯ　ＴＥＣＨホールディングス,0.04617977528089887,0.028627647123797527,0.6131180841093522,8429953536.0,69.83406113537119,0,4.1024537,2.1234403,18.95,2026-09-24,,2021,0.0,0.0,True,2022,0.0,0.0,True,2023,184.48,0.049472313924297934,False,2024,307.09,0.04130923379660053,False,2025,246.6,0.05235668789808917,False
